Concurso;Data do Sorteio;Coluna1;Coluna2;Coluna3;Coluna4;Coluna5;Coluna6;Chave ;chave_letra
1;11/03/1996;4;5;30;33;41;52;201111;a201111
2;18/03/1996;9;37;39;41;43;49;100230;a100230
3;25/03/1996;10;11;29;30;36;47;112110;a112110
4;01/04/1996;1;5;6;27;42;59;301011;a301011
5;08/04/1996;1;2;6;16;19;46;320010;a320010
6;15/04/1996;7;13;19;22;40;47;121110;a121110
7;22/04/1996;3;5;20;21;38;56;211101;a211101
8;29/04/1996;4;17;37;38;47;53;110211;a110211
9;06/05/1996;8;43;54;55;56;60;100014;a100014
10;13/05/1996;4;18;21;25;38;57;112101;a112101
11;20/05/1996;15;25;37;38;58;59;011202;a011202
12;27/05/1996;4;16;19;20;27;43;131010;a131010
13;03/06/1996;18;32;47;50;54;56;010122;a010122
14;10/06/1996;2;16;23;27;47;53;112011;a112011
15;17/06/1996;12;33;35;51;52;60;010203;a010203
16;24/06/1996;20;32;34;49;58;60;010212;a010212
17;01/07/1996;6;10;13;19;20;51;230001;a230001
18;08/07/1996;23;27;36;37;42;56;002211;a002211
19;15/07/1996;5;10;12;24;25;60;212001;a212001
20;22/07/1996;11;25;28;30;33;51;013101;a013101
21;29/07/1996;6;33;36;46;49;53;100221;a100221
22;05/08/1996;1;9;31;38;46;56;200211;a200211
23;12/08/1996;17;37;39;51;52;59;010203;a010203
24;19/08/1996;1;8;14;28;33;43;211110;a211110
25;25/08/1996;24;43;50;54;55;56;001023;a001023
26;01/09/1996;10;22;50;53;57;58;101013;a101013
27;08/09/1996;13;17;20;33;44;51;030111;a030111
28;15/09/1996;3;6;22;24;54;60;202002;a202002
29;22/09/1996;3;8;14;43;56;58;210012;a210012
30;29/09/1996;7;14;15;29;38;50;121110;a121110
31;06/10/1996;17;19;28;45;48;56;021021;a021021
32;13/10/1996;5;14;33;36;43;44;110220;a110220
33;20/10/1996;5;17;33;39;42;49;110220;a110220
34;27/10/1996;13;15;17;40;53;57;030102;a030102
35;03/11/1996;4;16;21;23;54;57;112002;a112002
36;10/11/1996;3;13;17;25;29;51;122001;a122001
37;17/11/1996;6;7;22;38;52;60;201102;a201102
38;24/11/1996;10;42;43;45;54;55;100032;a100032
39;01/12/1996;12;16;37;45;52;56;020112;a020112
40;08/12/1996;3;5;8;12;46;47;310020;a310020
41;15/12/1996;12;26;35;38;39;47;011310;a011310
42;22/12/1996;7;11;19;24;33;36;121200;a121200
43;29/12/1996;2;6;17;25;26;58;212001;a212001
44;05/01/1997;14;18;29;38;44;47;021120;a021120
45;12/01/1997;7;30;37;44;53;55;101112;a101112
46;19/01/1997;1;23;24;32;46;60;102111;a102111
47;26/01/1997;3;17;25;35;48;56;111111;a111111
48;02/02/1997;2;5;28;34;47;50;201120;a201120
49;09/02/1997;7;13;33;35;43;55;110211;a110211
50;16/02/1997;6;16;21;44;57;58;111012;a111012
51;23/02/1997;17;23;24;25;42;47;013020;a013020
52;02/03/1997;15;30;38;46;58;59;011112;a011112
53;09/03/1997;3;13;16;38;42;46;120120;a120120
54;16/03/1997;5;9;18;21;36;56;211101;a211101
55;23/03/1997;2;14;23;29;38;52;112101;a112101
56;30/03/1997;2;7;20;35;51;59;210102;a210102
57;06/04/1997;7;16;17;27;34;59;121101;a121101
58;13/04/1997;12;27;30;37;44;49;012120;a012120
59;20/04/1997;2;8;13;28;34;54;211101;a211101
60;27/04/1997;3;14;15;20;21;38;131100;a131100
61;04/05/1997;8;18;29;42;44;59;111021;a111021
62;11/05/1997;6;8;13;24;31;52;211101;a211101
63;18/05/1997;9;25;26;40;41;49;102120;a102120
64;25/05/1997;8;12;23;50;54;60;111012;a111012
65;01/06/1997;1;5;20;25;32;34;211200;a211200
66;08/06/1997;12;13;15;26;33;48;031110;a031110
67;15/06/1997;12;14;17;27;47;52;031011;a031011
68;22/06/1997;1;3;12;13;53;59;220002;a220002
69;29/06/1997;25;34;45;53;56;58;001113;a001113
70;06/07/1997;17;23;27;40;43;58;012111;a012111
71;13/07/1997;16;27;33;43;45;53;011121;a011121
72;20/07/1997;1;19;34;43;44;48;110130;a110130
73;27/07/1997;25;26;28;45;51;57;003012;a003012
74;03/08/1997;2;24;34;37;38;50;101310;a101310
75;10/08/1997;21;24;35;36;37;49;002310;a002310
76;17/08/1997;8;17;18;23;33;53;121101;a121101
77;24/08/1997;21;29;40;49;54;57;002112;a002112
78;31/08/1997;12;22;25;31;32;46;012210;a012210
79;07/09/1997;2;13;17;25;31;43;121110;a121110
80;14/09/1997;23;28;37;40;48;51;002211;a002211
81;21/09/1997;10;23;41;47;54;60;101022;a101022
82;28/09/1997;15;18;29;36;51;53;021102;a021102
83;05/10/1997;4;15;16;24;42;57;121011;a121011
84;12/10/1997;4;6;10;25;34;40;301200;a301200
85;19/10/1997;6;15;30;37;45;47;111120;a111120
86;26/10/1997;6;21;22;34;36;54;102201;a102201
87;02/11/1997;4;5;11;28;32;40;211200;a211200
88;09/11/1997;4;18;29;37;43;45;111120;a111120
89;16/11/1997;13;34;42;44;55;59;010122;a010122
90;23/11/1997;9;21;26;40;52;54;102102;a102102
91;30/11/1997;2;4;10;35;39;60;300201;a300201
92;07/12/1997;1;3;5;23;24;51;302001;a302001
93;14/12/1997;2;22;28;31;36;53;102201;a102201
94;21/12/1997;8;18;28;51;52;55;111003;a111003
95;28/12/1997;6;40;45;46;50;60;100131;a100131
96;04/01/1998;4;7;26;40;42;58;201111;a201111
97;11/01/1998;5;11;14;35;53;56;120102;a120102
98;18/01/1998;13;14;31;33;35;43;020310;a020310
99;25/01/1998;11;24;30;33;46;60;012111;a012111
100;01/02/1998;14;29;30;46;48;51;012021;a012021
101;08/02/1998;1;18;29;31;37;39;111300;a111300
102;15/02/1998;19;20;37;42;44;56;020121;a020121
103;22/02/1998;1;7;9;49;54;57;300012;a300012
104;01/03/1998;1;4;13;21;38;52;211101;a211101
105;08/03/1998;3;13;31;43;46;49;110130;a110130
106;15/03/1998;5;16;24;35;38;39;111300;a111300
107;22/03/1998;2;4;16;24;51;52;211002;a211002
108;29/03/1998;21;24;29;34;59;60;003102;a003102
109;04/04/1998;1;13;44;48;49;54;110031;a110031
110;11/04/1998;18;31;43;52;57;58;010113;a010113
111;18/04/1998;4;22;25;32;33;52;102201;a102201
112;25/04/1998;12;20;34;37;42;43;020220;a020220
113;02/05/1998;7;26;28;34;54;55;102102;a102102
114;09/05/1998;6;12;18;37;47;54;120111;a120111
115;16/05/1998;4;6;14;20;24;38;221100;a221100
116;23/05/1998;5;13;32;36;42;51;110211;a110211
117;30/05/1998;20;25;27;33;42;53;012111;a012111
118;06/06/1998;9;22;25;37;56;57;102102;a102102
119;13/06/1998;1;21;36;38;47;50;101220;a101220
120;20/06/1998;3;16;27;40;45;46;111120;a111120
121;27/06/1998;2;29;41;44;53;55;101022;a101022
122;04/07/1998;11;17;20;39;43;53;030111;a030111
123;11/07/1998;13;14;16;26;32;42;031110;a031110
124;18/07/1998;5;15;34;41;52;57;110112;a110112
